1    698138
2    2788129
3    548220
4    590301
5    562589
6    511282
7    1119160
8    577080
9    627237
10    565793
11    1228239
12    360226
13    467891
14    387402
15    438124
16    360903
17    518840
18    290921
19    572382
X    318253
Y    2247
MT    208095
GL456210.1    4
GL456211.1    5
GL456212.1    3
GL456221.1    3
GL456233.2    655
GL456367.1    2
GL456368.1    2
GL456370.1    20
GL456379.1    1
GL456396.1    16
JH584295.1    111
JH584299.1    2
JH584304.1    293
MU069434.1    2
MU069435.1    5458

